codigo,nombre,precio,texto,categoria,subcategoria
18328,"Kirkland Signature, Nueces de la India 1.1 kg", $499.00,"
		                    .........................................................................................................Las nueces de la India son un producto con calidad premium de Kirkland Signature. Están envasados en frascos de plástico prácticos para conservarlos fuera de la humedad desde el transporte hasta que se abren en casa. Se asan con aceite de cacahuate y sal buscando el punto óptimo para su sabor. Es un producto Kosher ya que para su elaboración se respeta los preceptos de la religión judía. Se consideran ideales para botana o para cocinar.
 
		                    ",Abarrotes-y-Bebidas,Botanas-y-Dulces
601380,"Café Gourmet Molido, Kirkland Signature, 100% Mexicano, 1 kg", $149.00,"
		                    .........................................................................................................El mejor café, cosechado, tostado y disfrutado en México.En lo alto de las montañas de Chiapas se encuentran las ricas cafetaleras en donde se siembra unos de los cafés más finos del mundo. Por generaciones se ha trabajado para producir café de especialidad, galardonado y apreciado en diversas regiones del mundo.

Tostado: Medio 
	Molido
	Aroma: Dulce, Chocolate, Vainilla, Nuez, Almendra
	Retrogusto: Bueno
	Cuerpo: Bueno, Cremoso
Un delicioso café dulce, con notas caramelizadas a chocolate y nuez, con aroma a avellana y vainilla único, y un cremoso cuerpo.  

100% café Arabica de México

Preparación:
Use aproximadamente una cucharada copeteada por cada 100ml de agua. Ajuste al gusto y disfrute una deliciosa taza de café.
		                    ",Abarrotes-y-Bebidas,Cafe-y-Te
942108,Champagne Kirkland Signature Brut 750ml, $649.00,"
		                    El Champagne Brut de la marca Kirkland Signature proviene de los viñedos de Chardonnay, Pinot Noir y Pinot Meunier en Sezanne de Roland de Bruyne y Manuel Janisson. Uva: Chardonnay, Pinot Noir y Pinot MeunierNotas de Cata:Boca: Tiene un gran rango de sabores con una rica textura y notas de jengibre, naranjas y duraznos más un luminoso carácter cítrico que queda al final.Maridaje: Aperitivos o cualquier marisco, pescado o postre. Temperatura de degustación: 6 a 8° C
		                    ",Abarrotes-y-Bebidas,Vinos
611095,"Café de Grano Entero, Kirkland Signature, Colombia, 1 kg", $169.00,"
		                    .........................................................................................................Café Gourmet de Colombia 100% Arábica.

Los granos de este café colombiano crecen cerca de Medellín en sierras con más de 1,800 metros de altura arriba de Concordia en fincas de café de pequeños productores. Con 2.5 metros de lluvia y un perfecto balance de temperatura y humedad, Concordia produce el mejor café de Colombia. Estas condiciones únicas nos permiten obtener una taza ligeramente dulce, con viveza y notas cítricas brillantes. Es un café de tostado medio con intensos sabores y un término balanceado. 

Este Café Kirkland Signature crece en fincas de café localizadas en gran altitud y están protegidas por las condiciones de la selva tropical. Trabajamos con pequeños productores quienes son muy dedicados y capaces de cumplir con nuestros altos estándares de calidad para desarrollar un café delicioso, usando métodos de producción sustentables. 

Notas de Catación

Aroma: Dulce y Floral.
	Sabor: Dulce, Notas a Chocolate, Nueces y Toques Afrutados.
	Retrogusto: Prolongado
	Cuerpo: Completo.
 

.
		                    ",Abarrotes-y-Bebidas,Cafe-y-Te
632330,"Leche de Coco Natural Calahua, 6 Piezas de 1L", $219.00,"
		                    .........................................................................................................Alimento liquido de Coco Bebible.

Apariencia: Liquido cremoso de color blanco a ligeramente beige con olor y sabor característico a coco.
	Color: Blanco a ligeramente beige.
	Sabor: Lechoso con notas acentuadas sabor coco.
	Olor: Característico a coco y exento de notas desviadas.
	Sin azúcar, libre de lactosa y gluten.
	25 calorías por porción.
	Producto Kosher.
	Sin colorantes, aromatizantes ni colorantes artificiales.
	100% mexicano.
",Abarrotes-y-Bebidas,Leche-y-Sustitutos
635628,Zaaté Kombucha Té Verde Tisana Limonada Jengibre Chía 1 kg, $279.00,"
		                    .........................................................................................................Té verde Kombucha tisana limonada jengibre chía.

ZAA TÉ® Tisana es una excelente opción para disfrutar del sabor, los beneficios y la versatilidad de preparar un té en cualquier momento del día. Estos productos combinan a la perfección ingredientes 100% naturales como extracto de té, llevándote a experimentar un delicioso sabor inigualable.

Este sabor no es todo... con esta bebida aprovecharás al mismo tiempo los beneficios de las diversas variedades de té. Disfrútalo a cualquier hora del día y a la temperatura que más te guste; caliente o frío.

Desde la antigüedad en China se disfrutaba de los beneficios de la bebida fermentada KOMBUCHA que ahora ZAA TÉ® trae para ti con sus innumerables propiedades y un delicioso sabor a limón y jengibre.
INGREDIENTES

Azúcar, chía (7.5%), ácido cítrico, maltodextrina, mezcla de extractos 1.8% (Té verde 1.3%, Kombucha 0.5%), jugo de limón 1.5%, citrato de sodio, colorantes (caramelo, rojo 40), saborizantes, dióxido de silicio, stevia (90mg/100g), aceite esencial de jengibre 0.06%, probióticos (Lactobacillus acidophilus).
 
		                    ",Abarrotes-y-Bebidas,Cafe-y-Te
103518,"Clorox, toallas desinfectantes 4 piezas con 78 toallitas cada una", $399.00,"
		                    Clorox® toallitas desinfectantes: Características  Desinfectar y defender su hogar de forma rápida y convenientemente - en tan sólo 1 toallita!Mata 99,999% de los gérmenes que viven en las superficiesMata 99,999% de los virus y las bacterias del hogar, incluyendo E-Coli, MRSA, estafilococo, estreptococo, Salmonella *Fórmula de secado rapido trabaja en una variedad de superficiesPaquete de cuatro (4) latas de 78-ct (312 toallitas en total): 2-Citrus Blend, 1-aroma fresco, 1-Naranja Fusión.  Aveces limpiar no es suficiente - por eso Clorox® Disinfecting Wipes están hechas para matar 99,999% de los virus y las bacterias , incluyendo los estafilococos, E. coli, Salmonella y Strep. Clorox® Disinfecting Wipes le dará la potencia de múltiples tareas en una sola y conveniente pasada: listo para atacar múltiples superficies y múltiples líos en toda su casa.       Mantenga todas las superficies de su casa limpias y desinfectadas. Clorox® Disinfecting Wipes son adecuados para su uso en la mayoría de las superficies duras, no porosas. Clorox® Disinfecting Wipes una fórmula única de secado rapido que los hace especialmente eficaz para la limpieza y desinfección de superficies brillantes como mesas de cristal, espejos y accesorios de metal. Y si bien es suave en superficies, Clorox® Toallitas Desinfectantes son fuerte contra la grasa, la suciedad y los residuos de jabón - dejando su casa limpia, sano y brillante! 
		                    ",Hogar-y-Bano,Productos-de-Limpieza
637587,"Leche Deslactosada Light, Kirkland Signature 12 Piezas de 1L", $219.00,"
		                    .........................................................................................................Leche deslactosada light ultrapasteurizada adicionada con vitaminas A y D.

Sin hormonas añadidas.
	Kosher.
	10 gramos / litro de agua.
 

 
		                    ",Abarrotes-y-Bebidas,Leche-y-Sustitutos
625076,"OKF Bebida de áloe vera sin azúcar, 10 de 500 ml", $349.00,"
		                    .........................................................................................................Bebida refrescante

20% de Sábila/Aloe Vera ( 13% en Jugo y 7% en pulpa),  planta reconocida por sus beneficios.

Contiene vitaminas A y B, C,E, tambien contiene minerales como el hierro, magnesio, zinc, calcio, sodio, potasio.

Ayuda a reducir los niveles de colesterol.

Auxiliar en problemas digestivos.               

No contiene Azúcar.   

Tómese frío.


 
		                    ",Abarrotes-y-Bebidas,Bebidas
644635,"Sangría sin alcohol, 4 botellas de 1 L", $519.00,"
		                    Singría

Producto sin alcohol
	Presentación de 4 botellas de 1 litro
",Abarrotes-y-Bebidas,Vinos
645618,Elixir de Agave El Capricho 6/750 ml, $799.00,"
		                    .........................................................................................................Este ®Elixir de Agave nació hace más de 20 años para desafiar al monótono y aburrido mundo de los tequilas de gama media, sobresaliendo por su originalidad, su sabor amable y su personalidad que se disfruta fácilmente. Es el único producto de agave con denominación “Maduro”, gracias a una meticulosa combinación entre lo elemental y puro de un blanco, con lo amable y balanceado de un reposado. Ideal tanto para tomarse solo como para coctelería.
		                    ",Abarrotes-y-Bebidas,Licores
586993,"Svetia, 600 sobres de 1 g", $219.00,"
		                    .........................................................................................................Endulcorante de mesa hecho con extracto de Stevia.

Ingredientes de origen natural.

600 sobres de un 1g cada uno.
		                    ",Abarrotes-y-Bebidas,Endulzantes-y-Sustitutos
652344,"Castillo de salobreña vino sin alcohol, 3 de 1 L", $299.00,"
		                    .........................................................................................................Bebida refrescante y con sabor único, elaborada a base de mosto de uva.

Ideal para consumir en todo momento.
		                    ",Abarrotes-y-Bebidas,Bebidas
1290060,"Sealy, Galveston, colchón queen size"," $11,999.00","
		                    Características del artículo:

Dimensiones: 150cm frente x 190cm profundo x 38cm alto.
	Peso: 41kg colchón
	Tamaño de Colchón: Queen
	Marca: Sealy
	Confort: PLUSH
	Estructura Interna: Resortes, Memory Foam, Memory Gel
“Soporte y confort en toda la superficie del colchón, se siente bien en todos lados”

Detalles del artículo:

Nueva Línea diseñada exclusivamente para Costco; Tecnología Sealy Unicased®, se adapta a la forma de tu cuerpo, Excelente soporte a lo largo de toda la superficie del colchón “Se siente
bien en todos lados”

Cada componente ayuda a reducir la presión sanguínea, dando como resultado que las personas den menos vueltas durante la noche, obteniendo un mejor descanso, lo que brinda
una vida más saludable a largo plazo.

Con una colchoneta súper suave en la parte superior estilo Euro Pillow Top y un sistema de resortes encajonado brinda soporte en toda la superficie del colchón, elimina la sensibilidad del resorte además capas de Memory Foam que siempre regresan al estado y forma del material, absorbiendo los puntos de presión, y Memory Gel que ayuda a regular la temperatura corporal
y del material.

Alto grado de Confort y Soporte, es lo que define nuestro modelo Galveston; despierta revitalizado y listo para vivir tu día al máximo.

Gozar de un sueño reparador alarga y mejora tu calidad de vida.

Unicased Technology®.
	Tecnología Sealy Posturepedic®.
	Alto grado de Confort y Estabilidad.
	Confort Suave.
	10% más de área de descanso
	Capa de Memory Foam y Memory Gel.
	Fabricado con Memory High Confort®.
	Tela importada, inteligente, fresca; con una superficie que permite la mejor circulación del aire.
	Disminuye los puntos de presión.
	Ofrece un descanso placentero eliminado los movimientos nocturnos.
	Look actual y en tendencia.
	Diseño Americano.
	El colchón se adapta a tu cuerpo, permitiendo la liberación de puntos de presión, su capa de Gel brinda frescura que ayuda a regular la temperatura corporal, permitiendo un descanso reparador.
	Superficie que no se deforma.
	Te recomendamos usarlo con nuestro Box de madera Galveston diseñado especialmente para darle soporte y durabilidad a tu colchón.
Garantía contra defectos de fabricación de 10 años totales 7 sin cargo y 3 proporcionales al uso.

*No incluye accesorios

Fotos con fin ilustrativo

 

		                    ",Muebles,Recamara
635636,Champagne Nicolas Feuillatte Réserve Exclusive Brut 750ml," $1,099.00","
		                    .........................................................................................................Bodega: Nicolas Feuillatte

 

Crianza: 3 a 4 años en bodega.

 

Notas de cata:

Vista: amarillo pálido brillante.
	Nariz: aromas a peras jugosas y duraznos crujientes, fruta muy expresiva.
	Boca: delicadas burbujas, complejo, refrescante.
 

Maridaje: muy versátil, disfrutar como aperitivo, con salmón ahumado, quesos maduros, tarta de ruibarbo.

 

Temperatura de Servicio: 8-10°C
		                    ",Abarrotes-y-Bebidas,Vinos
VA646156,Royal dispensador de agua caliente y fría por compresor carga oculta," $4,699.00","
		                    .........................................................................................................Disfrute de este dispensador de agua de la marca Royal perfecto para satisfacer sus necesidades de bebidas calientes y frías su oficina u hogar.Otras características:Enfriamiento de compresor.Bandeja de goteo removible.Recipiente anti-derrame.Seguro de pared.Luces LED indicadoras.Para garrafones de 3 o 5 galones.Agua caliente a 85°C.Agua fría entre 4°C y 12°C.Bajo consumo de energía.Controles con seguro para niños.Tecnología cooling fresh.Mangueras fabricadas en acero inoxidable y sometidas a tratamiento para evitar la aparición de gérmenes y bacterias.",Linea-Blanca-y-Cocina,Cocina-y-Utensilios
646156,"Royal, dispensador de agua caliente y fría por compresor carga oculta"," $4,699.00","
		                    .........................................................................................................Disfrute de este dispensador de agua de la marca Royal perfecto para satisfacer sus necesidades de bebidas calientes y frías su oficina u hogar.Otras características:Enfriamiento de compresor.Bandeja de goteo removible.Recipiente anti-derrame.Seguro de pared.Luces LED indicadoras.Para garrafones de 3 o 5 galones.Agua caliente a 85°C.Agua fría entre 4°C y 12°C.Bajo consumo de energía.Controles con seguro para niños.Tecnología cooling fresh.Mangueras fabricadas en acero inoxidable y sometidas a tratamiento para evitar la aparición de gérmenes y bacterias.",Linea-Blanca-y-Cocina,Cocina-y-Utensilios
656768,"Kuka Home, Sillón Reclinable de Piel, Color Café"," $16,999.00","
		                    Características del producto:

Date la oportunidad de obtener el fantástico sillón reclinable color café, que te brinda la comodidad que te mereces en tus horas de descanso.

Tapizado en piel color café
	El descansa pies es ideal para dar un soporte
	completo en las piernas y un relajante.
	Medidas del artículo en cm: 94 cm x 101cm x 104 cm
*No incluye accesorios

Fotos con fin ilustrativo

		                    ",Muebles,Sofas-y-Sillones
657755,"Refrigerador LG de 30' Instaview Door-in-Door con Fábrica de Hielos Dual y Hielos en Esfera Craft Ice™, acero negro inoxidable"," $69,999.00","
		                    .........................................................................................................

Fábrica de Hielos Dual y Hielos en Esfera Craft Ice™ Exclusivos de LG

La fábrica de hielo dual con hielos en esfera Craft Ice™ crea automáticamente hielo triturado, en cubos o en forma de esfera de lenta disolución exclusivos de LG. Descubre un nuevo mundo de bebidas de alta gama y mantén tus refrescos, la limonada y el café helado con el mejor sabor.

InstaView Door-in-Door™ 

Los refrigeradores LG InstaView Door-in-Door™ cuentan con un panel de cristal de espejo que con solo dos pequeños golpes se ilumina, permitiéndole ver el interior de su refrigerador sin necesidad de abrir la puerta. Reduciendo así la perdida de aire frío, manteniendo los alimentos frescos por mucho más tiempo.

Puerta LG Door-in-Door™ 

La innovadora puerta LG Door-in-Door™ facilita el acceso a sus alimentos favoritos. Gracias a su avanzado marco delgado de Door-in-Door ™, hay un 9 más de espacio interior y las repisas adicionales le brindan otra manera de mantener su refrigerador organizado mientras reduce la perdida de aire frio hasta un 41% menos.*

Ahorro de energía 

Hasta 32% menos consumo de energía gracias al accionamiento de pistón lineal del Compresor Linear Inverter exclusivo de LG, generando menos fricción interna, respaldado por una garantía de 10 años

Características: 

Fábrica de Hielos Dual
	Craft Ice™
	InstaView Door in Door™
	Linear / Door Cooling
	Hygiene Fresh
	Metal Flat Duct (CoolGuard™)
	Surface LED lightning
	1 repisa plegable
	Temperature controlled pantry (-1°C, 1°C, 3°C)
	2 cajones con control de humedad - Manija de fácil apertura
	Cajon de congelador doble
	Smart Care+
	SmartThinQ™
	Smart Diagnosis™
",Linea-Blanca-y-Cocina,Linea-Blanca
657831,"Jabón Líquido Corporal, Dove, 4 piezas ", $399.00,"
		                    .........................................................................................................De uso diario.
	Nutre a profundidad las capas de la piel.
	Desde el primer uso tu piel luce más suave y tersa.
	Su tecnología NutriumMoisture™ te brinda nutrientes naturales para la piel.
	Crea una espuma rica que devuelve los nutrientes a tu piel mientras te deja sintiéndote cuidada y limpia.
",Salud-y-Belleza,Belleza-y-Cuidado-Personal
1241491,Vulcan Guantes de Nitrilo Talla Mediana 150 piezas, $429.00,"
		                    Guantes de nitrilo desechables ADM Medicom Vulcan sin talco, en color azul índigo, 150 piezas.
 
Ya sea que esté realizando mantenimiento a su automóvil o que requiera unos guantes desechables para la limpieza, mantenga sus manos limpias con los guantes de nitrilo para uso general de Vulcan. Ideales para uso automotriz, en interiores y exteriores, seguros para uso alimentario y veterinario. No contienen látex ni talco, lo que ofrece un ajuste cómodo, fuerza y durabilidad, así como resistencia a la perforación y a productos químicos. 
 

Características: 

Color: Azul índigo.
	150 piezas por caja.
	100% nitrilo.
	Libre de látex.
	Sin talco.
	Sin esterilizar.
	Desechables.
	Ambidiestros.
	Hipoalergénicos.
	Resistentes a perforaciones.
	Resistentes a productos químicos.
Especificaciones: 

Grosor de la palma en todas las tallas: 10mm.
	Ancho de la palma: 95mm.
",Todo-para-el-Bebe,Cuidado-del-Bebe
VA1424298,"Mikasa, Juego de 45 Cubiertos de Acero Inoxidable (varios modelos)"," $1,499.00","
		                    Características del artículo:

Incluye: 45 piezas
	Servicio para 8 personas
	Acero inoxidable
	8 juegos de 5 piezas para poner en la mesa y 5 piezas para servir
*No incluye accesorios

Fotos con fin ilustrativo

		                    ",Linea-Blanca-y-Cocina,Cocina-y-Utensilios
1424298-1,"Mikasa, Juego de 45 Cubiertos de Acero Inoxidable, Satin"," $1,499.00","
		                    Características del artículo:

Incluye: 45 piezas
	Servicio para 8 personas
	Acero inoxidable
	8 juegos de 5 piezas para poner en la mesa y 5 piezas para servir
*No incluye accesorios

Fotos con fin ilustrativo

		                    ",Linea-Blanca-y-Cocina,Cocina-y-Utensilios
1424298-2,"Mikasa, Juego de 45 Cubiertos de Acero Inoxidable, Colette"," $1,499.00","
		                    Características del artículo:

Incluye: 45 piezas
	Servicio para 8 personas
	Acero inoxidable
	8 juegos de 5 piezas para poner en la mesa y 5 piezas para servir
*No incluye accesorios

Fotos con fin ilustrativo

		                    ",Linea-Blanca-y-Cocina,Cocina-y-Utensilios